Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,Sequential,0.329265,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,MPI (4),0.079845,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,CUDA,0.613795,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,Sequential,0.327193,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,MPI (4),0.079399,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,CUDA,0.617743,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,Sequential,0.325645,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,MPI (4),0.079761,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,CUDA,0.614645,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,Sequential,0.33697,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,MPI (4),0.079844,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,CUDA,0.612819,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,Sequential,0.322508,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,MPI (4),0.079796,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,CUDA,0.610238,156250
