Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,CUDA,0.517252,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,Sequential,0.090082,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,MPI (4),0.030409,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,CUDA,0.512594,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,Sequential,0.089963,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,MPI (4),0.030369,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,CUDA,0.518074,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,Sequential,0.089875,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,MPI (4),0.03047,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,CUDA,0.520294,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,Sequential,0.089738,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,MPI (4),0.030363,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,CUDA,0.521576,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,Sequential,0.089841,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,MPI (4),0.030437,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,CUDA,0.52118,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,Sequential,0.089899,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,MPI (4),0.030404,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,CUDA,0.523357,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,Sequential,0.089823,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,MPI (4),0.030412,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,CUDA,0.516052,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,Sequential,0.089848,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,MPI (4),0.030387,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,CUDA,0.525757,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,Sequential,0.090483,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,MPI (4),0.03035,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,CUDA,0.515071,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,Sequential,0.090037,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,MPI (4),0.030413,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,CUDA,0.517351,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,Sequential,0.089755,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,MPI (4),0.030481,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,CUDA,0.513079,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,Sequential,0.090025,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,MPI (4),0.030311,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,CUDA,0.523069,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,Sequential,0.089944,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,MPI (4),0.030351,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,CUDA,0.514165,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,Sequential,0.090014,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,MPI (4),0.030343,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,CUDA,0.51782,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,Sequential,0.090652,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,MPI (4),0.030336,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,CUDA,0.523992,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,Sequential,0.090087,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,MPI (4),0.030572,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,CUDA,0.523351,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,Sequential,0.089992,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,MPI (4),0.030486,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,CUDA,0.512979,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,Sequential,0.090005,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,MPI (4),0.030305,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,CUDA,0.519724,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,Sequential,0.090241,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,MPI (4),0.030325,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,CUDA,0.515712,164
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,Sequential,0.090109,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,MPI (4),0.030557,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,CUDA,0.536161,184
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,Sequential,0.089709,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,MPI (4),0.030419,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,CUDA,0.512346,207
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,Sequential,0.089944,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,MPI (4),0.030341,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,CUDA,0.51559,233
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,Sequential,0.090077,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,MPI (4),0.030419,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,CUDA,0.515415,261
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,Sequential,0.089942,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,MPI (4),0.03025,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,CUDA,0.514937,293
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,Sequential,0.089924,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,MPI (4),0.030378,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,CUDA,0.514479,329
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,Sequential,0.089864,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,MPI (4),0.030361,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,CUDA,0.52592,370
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,Sequential,0.089902,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,MPI (4),0.03055,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,CUDA,0.516777,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,Sequential,0.089834,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,MPI (4),0.030357,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,CUDA,0.517081,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,Sequential,0.089549,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,MPI (4),0.030517,524
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,CUDA,0.526623,524
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,Sequential,0.08962,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,MPI (4),0.030507,589
density_pattern_len64_pattern.txt vs density_case_051_d3.76e-04_text.txt,CUDA,0.51613,589
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,Sequential,0.089925,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,MPI (4),0.030338,661
density_pattern_len64_pattern.txt vs density_case_052_d4.23e-04_text.txt,CUDA,0.522703,661
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,Sequential,0.089756,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,MPI (4),0.030333,743
density_pattern_len64_pattern.txt vs density_case_053_d4.75e-04_text.txt,CUDA,0.516843,743
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,Sequential,0.089781,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,MPI (4),0.030399,834
density_pattern_len64_pattern.txt vs density_case_054_d5.34e-04_text.txt,CUDA,0.517805,834
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,Sequential,0.08994,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,MPI (4),0.030637,937
density_pattern_len64_pattern.txt vs density_case_055_d5.99e-04_text.txt,CUDA,0.515046,937
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,Sequential,0.089495,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,MPI (4),0.030519,1053
density_pattern_len64_pattern.txt vs density_case_056_d6.73e-04_text.txt,CUDA,0.519978,1053
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,Sequential,0.089737,1182
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,MPI (4),0.030348,1182
density_pattern_len64_pattern.txt vs density_case_057_d7.56e-04_text.txt,CUDA,0.516938,1182
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,Sequential,0.090026,1328
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,MPI (4),0.030345,1328
density_pattern_len64_pattern.txt vs density_case_058_d8.50e-04_text.txt,CUDA,0.527853,1328
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,Sequential,0.089774,1492
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,MPI (4),0.030305,1492
density_pattern_len64_pattern.txt vs density_case_059_d9.55e-04_text.txt,CUDA,0.519665,1492
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,Sequential,0.089913,1676
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,MPI (4),0.030312,1676
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,CUDA,0.518278,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,Sequential,0.089692,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,MPI (4),0.03034,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,CUDA,0.528577,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,Sequential,0.089996,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,MPI (4),0.03047,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,CUDA,0.516578,2115
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,Sequential,0.089847,2375
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,MPI (4),0.030222,2375
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,CUDA,0.525171,2375
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,Sequential,0.08984,2668
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,MPI (4),0.03034,2668
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,CUDA,0.524267,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,Sequential,0.089877,2997
