Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,Sequential,0.089163,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,MPI (4),0.031366,98130
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,CUDA,0.544078,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,Sequential,0.089135,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,MPI (4),0.030149,110232
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,CUDA,0.549512,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,Sequential,0.089104,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,MPI (4),0.030168,123826
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,CUDA,0.541247,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,Sequential,0.089258,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,MPI (4),0.030374,139097
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,CUDA,0.544239,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,Sequential,0.089199,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,MPI (4),0.030336,156250
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,CUDA,0.537299,156250
