Method,Algorithm,Correlation,N_Samples
Sequential,BF,-0.7366204267183457,100
Sequential,BM,-0.6943938038117775,100
Sequential,KMP,-0.9236332077461955,100
Sequential,RK,-0.9410493332272765,100
MPI,BF,-0.05445333462370262,100
MPI,BM,-0.09540843026746126,100
MPI,KMP,-0.07508322781365993,100
MPI,RK,-0.2500251046709862,100
CUDA,BF,0.6140968680635939,100
CUDA,BM,0.7301158442091163,100
CUDA,KMP,0.7307643952512161,100
CUDA,RK,0.3674793708215192,100
